Episode,Score,MaxTile,Steps,Time
614,1648,128,169,3.50
615,760,64,102,2.31
616,2032,128,196,4.21
617,1492,128,157,3.45
618,996,64,119,2.43
619,932,64,114,2.44
620,1640,128,163,3.38
621,1732,128,176,3.62
622,680,64,89,1.91
623,2768,256,223,4.68
624,1556,128,162,3.56
625,696,64,92,1.83
626,640,64,90,1.95
627,1384,128,146,3.07
628,808,64,100,2.07
629,732,64,93,2.00
630,836,64,106,2.27
631,1204,128,133,2.87
632,1372,128,142,3.21
633,1636,128,163,3.34
634,1388,128,141,2.86
635,1580,128,167,3.49
636,444,64,62,1.24
637,644,64,87,1.89
638,1460,128,150,2.97
639,1648,128,168,3.36
640,584,64,80,1.73
641,664,64,88,1.81
642,1356,128,140,2.79
643,1100,128,120,2.50
644,924,64,111,2.41
645,1316,128,134,2.92
646,1452,128,152,3.28
647,1060,64,128,2.65
648,1044,128,112,2.40
649,1432,128,151,3.20
650,808,64,104,2.14
651,2380,256,197,4.34
652,3040,256,251,5.26
653,1152,128,126,2.50
654,796,64,105,2.11
655,860,64,112,2.46
656,1228,128,129,2.74
657,436,32,72,1.54
658,1604,128,162,3.46
659,684,64,96,1.93
660,676,64,94,1.96
661,324,32,60,1.30
662,1708,128,172,3.69
663,452,32,68,1.34
664,804,64,109,2.35
665,1744,128,169,3.52
666,1848,128,179,3.83
667,1188,128,129,2.68
668,1024,64,121,2.47
669,3196,256,263,5.39
670,1868,128,188,3.95
671,500,64,71,1.48
672,1376,128,140,2.90
673,284,32,50,1.13
674,792,64,95,2.10
675,1332,128,139,2.95
676,740,64,98,2.09
677,764,64,101,2.04
678,1040,64,124,2.53
679,1532,128,159,3.33
680,624,64,81,1.66
681,636,64,87,1.83
682,760,64,101,2.19
683,1084,128,116,2.54
684,908,128,99,2.01
685,1232,128,126,2.58
686,584,64,80,1.65
687,936,64,109,2.20
688,1324,128,143,3.00
689,600,64,84,1.77
690,380,32,65,1.39
691,1828,128,171,3.56
692,1000,64,119,2.49
693,1484,128,155,3.26
694,440,64,63,1.33
695,980,128,101,2.05
696,940,128,102,2.12
697,628,64,86,1.77
698,1636,128,167,3.62
699,2980,256,242,5.02
700,2072,256,175,3.66
701,2704,256,232,4.90
702,1120,128,119,2.34
703,1480,128,155,3.24
704,1080,128,113,2.41
705,712,64,92,1.97
706,1184,128,129,2.69
707,1712,128,159,3.40
708,2884,256,237,5.03
709,1528,128,158,3.35
710,656,64,86,1.76
711,1288,128,132,2.77
712,1152,128,122,2.51
713,1428,128,151,3.14
714,1248,64,140,2.91
715,1156,128,127,2.66
716,1024,64,121,2.60
717,1448,128,151,3.13
718,1092,64,127,2.76
719,1764,128,181,3.83
720,712,64,96,2.01
721,1152,128,126,2.58
722,1440,64,160,3.35
723,1152,128,125,2.73
724,1324,128,144,2.98
725,1080,128,119,2.41
726,1064,64,124,2.68
727,800,64,102,1.99
728,1912,128,197,4.12
729,1448,128,153,3.31
730,604,32,89,1.92
731,476,32,74,1.57
732,1880,128,170,3.36
733,1232,128,136,2.99
734,720,64,94,1.97
735,2624,256,221,4.67
736,764,64,97,2.12
737,272,32,52,1.08
738,1756,128,180,3.73
739,936,64,109,2.31
740,1304,128,136,2.73
741,488,32,79,1.60
742,568,64,77,1.67
743,1444,128,150,3.07
744,760,64,103,2.20
745,1488,128,157,3.33
746,652,64,91,1.92
747,596,64,82,1.73
748,800,64,96,2.00
749,1148,128,127,2.51
750,628,64,86,1.77
751,1440,128,152,3.28
752,288,32,57,1.17
753,540,64,75,1.58
754,1216,128,125,2.68
755,1288,128,136,2.88
756,1132,128,120,2.47
757,780,64,96,1.98
758,1396,128,148,3.02
759,1656,128,168,3.43
760,540,64,74,1.61
761,1092,128,120,2.47
762,1868,128,179,3.90
763,1800,128,172,3.59
764,1372,128,141,2.93
765,1028,128,111,2.33
766,680,64,94,1.96
767,1328,128,138,2.96
768,1860,128,177,3.68
769,2500,256,217,4.64
770,1808,128,181,3.78
771,432,32,70,1.53
772,808,64,103,2.07
773,704,64,94,1.89
774,2512,256,213,4.53
775,1840,128,184,3.83
776,944,128,102,2.34
777,276,32,52,1.07
778,1444,128,151,3.16
779,736,64,97,1.95
780,1276,128,139,2.83
781,780,64,100,1.97
782,1412,128,147,3.19
783,624,64,86,1.82
784,1016,128,108,2.27
785,1640,128,164,3.50
786,2916,256,246,5.10
787,584,64,81,1.68
788,1560,128,159,3.23
789,1468,128,143,3.09
790,388,32,63,1.36
791,1372,128,144,2.97
792,308,32,57,1.16
793,652,64,92,2.00
794,388,32,64,1.33
795,1220,128,130,2.62
796,828,64,105,2.13
797,716,64,96,2.00
798,1480,128,152,3.20
799,288,32,52,1.09
800,1300,128,142,3.04
801,1248,128,136,2.89
802,1316,128,134,2.88
803,1832,128,187,3.75
804,1464,128,152,3.19
805,1536,128,161,3.35
806,2768,256,220,4.73
807,576,64,79,1.66
808,360,32,62,1.23
809,572,64,79,1.72
810,1020,64,124,2.75
811,1412,128,142,3.00
812,520,32,83,1.67
813,1252,128,134,2.81
814,632,64,86,1.84
815,1272,64,146,3.10
816,1380,128,146,2.97
817,1688,128,167,3.49
818,1448,128,151,3.14
819,716,64,96,1.93
820,716,64,96,2.07
821,840,64,100,2.14
822,1168,128,126,2.59
823,1004,64,117,2.44
824,792,64,106,2.20
825,1304,128,143,2.98
826,904,64,111,2.53
827,808,64,100,2.01
828,964,64,117,2.30
829,904,64,110,2.34
830,812,64,103,2.18
831,552,64,80,1.66
832,236,32,47,1.00
833,2236,128,216,4.66
834,720,64,96,1.89
835,924,64,112,2.49
836,1300,128,135,2.94
837,1432,128,149,3.19
838,1088,64,132,2.83
839,736,64,100,2.05
840,1184,128,128,2.73
841,428,32,69,1.52
842,320,32,59,1.21
843,804,64,99,2.04
844,1056,128,114,2.44
845,1512,128,156,3.23
846,1728,128,173,3.69
847,1216,128,125,2.53
848,728,64,96,1.93
849,1280,128,131,2.63
850,1256,128,131,2.74
851,1020,128,110,2.21
852,728,64,99,2.03
853,1244,64,146,3.02
854,1084,128,114,2.42
855,1148,128,124,2.71
856,888,64,108,2.13
857,356,32,63,1.32
858,720,64,94,1.86
859,1408,128,145,3.04
860,788,64,96,1.95
861,724,64,96,2.01
862,1300,128,133,2.82
863,1256,128,130,2.69
864,1220,128,127,2.64
865,1008,64,121,2.47
866,1456,128,154,3.10
867,760,64,96,2.08
868,1328,128,138,2.79
